date,match,p_ft_over25,fair_ft_over,fair_ft_under,market_over25,market_under25,ft_over_value,ft_under_value,p_ht_over05,fair_ht_over05,fair_ht_under05,p_ht_over15,fair_ht_over15,fair_ht_under15
2026-06-20,Netherlands vs Sweden,0.547,1.83,2.21,1.65,2.21,-9.8,0.0,0.676,1.48,3.08,0.308,3.25,1.44
2026-06-20,Germany vs Ivory Coast,0.546,1.83,2.2,1.58,2.36,-13.7,7.3,0.674,1.48,3.07,0.305,3.28,1.44
2026-06-21,Ecuador vs Curaçao,0.547,1.83,2.21,1.5,2.5,-18.0,13.1,0.658,1.52,2.92,0.308,3.25,1.44
2026-06-21,Tunisia vs Japan,0.545,1.84,2.2,2.065,1.75,12.2,-20.5,0.675,1.48,3.08,0.306,3.27,1.44
2026-06-21,Spain vs Saudi Arabia,0.544,1.84,2.19,1.455,2.72,-20.9,24.2,0.675,1.48,3.08,0.304,3.29,1.44
2026-06-21,Belgium vs Iran,0.538,1.86,2.17,1.835,1.99,-1.3,-8.3,0.678,1.47,3.11,0.3,3.34,1.43
2026-06-21,Uruguay vs Cape Verde,0.548,1.83,2.21,2.195,1.645,19.9,-25.6,0.656,1.52,2.9,0.306,3.27,1.44
2026-06-22,New Zealand vs Egypt,0.544,1.84,2.19,2.1,1.73,14.1,-21.0,0.674,1.48,3.07,0.303,3.3,1.43
2026-06-22,Argentina vs Austria,0.538,1.86,2.17,1.94,1.88,4.3,-13.4,0.678,1.47,3.11,0.3,3.34,1.43
2026-06-22,France vs Iraq,0.543,1.84,2.19,1.4,2.95,-23.9,34.7,0.672,1.49,3.05,0.3,3.34,1.43
2026-06-23,Norway vs Senegal,0.538,1.86,2.16,1.95,1.875,4.8,-13.2,0.678,1.48,3.1,0.299,3.34,1.43
2026-06-23,Jordan vs Algeria,0.539,1.85,2.17,1.94,1.87,4.9,-13.8,0.679,1.47,3.12,0.299,3.34,1.43
2026-06-23,Portugal vs Uzbekistan,0.548,1.82,2.21,1.6,2.29,-12.1,3.6,0.656,1.52,2.91,0.308,3.24,1.45
2026-06-23,England vs Ghana,0.539,1.85,2.17,1.66,2.23,-10.3,2.8,0.677,1.48,3.1,0.3,3.34,1.43
2026-06-23,Panama vs Croatia,0.544,1.84,2.2,1.955,1.84,6.2,-16.4,0.675,1.48,3.08,0.304,3.29,1.44
2026-06-24,Colombia vs DR Congo,0.434,2.3,1.77,2.14,1.67,-7.0,-5.6,0.669,1.49,3.02,0.316,3.16,1.46
2026-06-24,Bosnia & Herzegovina vs Qatar,0.548,1.82,2.21,1.65,2.2,-9.3,-0.5,0.664,1.51,2.97,0.308,3.25,1.44
2026-06-24,Switzerland vs Canada,0.547,1.83,2.21,2.1,1.72,14.8,-22.2,0.675,1.48,3.07,0.306,3.27,1.44
2026-06-24,Scotland vs Brazil,0.545,1.84,2.2,1.8,2.0,-2.2,-9.1,0.675,1.48,3.08,0.306,3.27,1.44
2026-06-24,Morocco vs Haiti,0.547,1.83,2.21,1.515,2.465,-17.2,11.5,0.659,1.52,2.93,0.308,3.25,1.45
2026-06-25,Czech Republic vs Mexico,0.547,1.83,2.21,2.12,1.7,15.8,-23.1,0.675,1.48,3.08,0.307,3.26,1.44
2026-06-25,South Africa vs South Korea,0.41,2.44,1.7,2.02,1.76,-17.2,3.5,0.673,1.49,3.06,0.315,3.18,1.46
