bet_id,ts_bet,market,player,match,side,odds_bet,under_odds_bet,odds_close,under_odds_close,p_bet_novig,p_close_novig,clv_pct,clv_prob,result,pnl,notes
PLAYER|2026-07-14|Victor Muñoz|goals,2026-07-13T02:28:33.319043+00:00,goals,Victor Muñoz,France vs Spain,over,5.75,,5.75,,,,0.0,,,,PAPER
PLAYER|2026-07-14|Adrien Rabiot|sot,2026-07-13T02:28:33.319241+00:00,sot,Adrien Rabiot,France vs Spain,over,3.75,,3.75,,,,0.0,,,,PAPER
PLAYER|2026-07-15|Nico O'Reilly|sot,2026-07-13T02:28:33.319451+00:00,sot,Nico O'Reilly,England vs Argentina,over,3.6,,3.6,,,,0.0,,,,PAPER
PLAYER|2026-07-15|Noni Madueke|goals,2026-07-13T02:28:33.320084+00:00,goals,Noni Madueke,England vs Argentina,over,6.0,,6.0,,,,0.0,,,,PAPER
PLAYER|2026-07-14|Rodri|sot,2026-07-13T02:28:33.320633+00:00,sot,Rodri,France vs Spain,over,5.8,,5.8,,,,0.0,,,,PAPER
PLAYER|2026-07-15|Noni Madueke|sot,2026-07-14T17:15:55.485881+00:00,sot,Noni Madueke,England vs Argentina,over,2.25,,2.0,,,,0.125,,,,PAPER
PLAYER|2026-07-15|Harry Kane|goals,2026-07-14T19:18:31.682451+00:00,goals,Harry Kane,England vs Argentina,over,2.51,,2.65,,,,-0.0528,,,,PAPER
PLAYER|2026-07-15|Declan Rice|sot,2026-07-14T19:18:31.683400+00:00,sot,Declan Rice,England vs Argentina,over,3.6,,3.6,,,,0.0,,,,PAPER
PLAYER|2026-07-21|Giuliano Simeone|goals,2026-07-15T02:09:31.349072+00:00,goals,Giuliano Simeone,Atletico Mineiro vs Bahia,over,5.0,,,,,,,,,,PAPER
PLAYER|2026-07-15|Lionel Messi|goals,2026-07-15T05:15:39.249899+00:00,goals,Lionel Messi,England vs Argentina,over,2.56,,2.68,,,,-0.0448,,,,PAPER
PLAYER|2026-07-21|Giuliano Simeone|sot,2026-07-15T18:10:09.575129+00:00,sot,Giuliano Simeone,Atletico Mineiro vs Bahia,over,1.91,,,,,,,,,,PAPER
PLAYER|2026-07-15|Anthony Gordon|sot,2026-07-15T18:10:09.575633+00:00,sot,Anthony Gordon,England vs Argentina,over,2.25,,2.25,,,,0.0,,,,PAPER
PLAYER|2026-07-19|Lionel Messi|goals,2026-07-15T22:03:13.280178+00:00,goals,Lionel Messi,Spain vs Argentina,over,2.45,,2.94,,,,-0.1667,,,,PAPER
PLAYER|2026-07-19|Victor Muñoz|goals,2026-07-15T22:03:13.280615+00:00,goals,Victor Muñoz,Spain vs Argentina,over,4.8,,5.0,,,,-0.04,,,,PAPER
PLAYER|2026-07-18|Harry Kane|goals,2026-07-15T22:03:13.281004+00:00,goals,Harry Kane,France vs England,over,2.55,,2.19,,,,0.1644,,,,PAPER
PLAYER|2026-07-18|Ousmane Dembélé|goals,2026-07-15T22:03:13.281858+00:00,goals,Ousmane Dembélé,France vs England,over,3.3,,3.0,,,,0.1,,,,PAPER
PLAYER|2026-07-18|Noni Madueke|goals,2026-07-15T22:03:13.282796+00:00,goals,Noni Madueke,France vs England,over,6.2,,5.1,,,,0.2157,,,,PAPER
PLAYER|2026-07-23|Giuliano Simeone|goals,2026-07-16T02:25:20.929261+00:00,goals,Giuliano Simeone,Sao Paulo vs Atletico Paranaense,over,6.2,,,,,,,,,,PAPER
PLAYER|2026-07-19|Rodri|sot,2026-07-16T11:12:42.178356+00:00,sot,Rodri,Spain vs Argentina,over,3.65,,4.0,,,,-0.0875,,,,PAPER
PLAYER|2026-07-19|Victor Muñoz|sot2,2026-07-16T11:12:42.179103+00:00,sot2,Victor Muñoz,Spain vs Argentina,over,3.7,,5.5,,,,-0.3273,,,,PAPER
PLAYER|2026-07-19|Victor Muñoz|sot,2026-07-16T15:14:51.068102+00:00,sot,Victor Muñoz,Spain vs Argentina,over,2.0,,2.0,,,,0.0,,,,PAPER
PLAYER|2026-07-23|Aurélien Tchouaméni|sot,2026-07-16T23:19:45.410589+00:00,sot,Aurélien Tchouaméni,Los Angeles FC vs Real Salt Lake,over,3.55,,,,,,,,,,PAPER
PLAYER|2026-07-23|Aurélien Tchouaméni|goals,2026-07-16T23:19:45.419219+00:00,goals,Aurélien Tchouaméni,Los Angeles FC vs Real Salt Lake,over,9.0,,,,,,,,,,PAPER
PLAYER|2026-07-18|Marcus Rashford|sot,2026-07-18T20:22:22.086785+00:00,sot,Marcus Rashford,France vs England,over,2.0,,2.0,,,,0.0,,,,PAPER
PLAYER|2026-07-18|Marcus Rashford|goals,2026-07-18T20:22:22.088044+00:00,goals,Marcus Rashford,France vs England,over,5.18,,5.18,,,,0.0,,,,PAPER
PLAYER|2026-08-15|Martín Satriano|sot,2026-08-13T15:40:27.756789+00:00,sot,Martín Satriano,Alaves vs Getafe,over,1.67,,1.76,,,,-0.0511,,,,PAPER
PLAYER|2026-08-15|Isi Palazón|sot,2026-08-13T15:40:27.757157+00:00,sot,Isi Palazón,Sevilla vs Rayo Vallecano,over,1.91,,1.91,,,,0.0,,,,PAPER
PLAYER|2026-08-15|Álvaro García|sot,2026-08-13T15:40:27.836473+00:00,sot,Álvaro García,Sevilla vs Rayo Vallecano,over,1.67,,1.95,,,,-0.1436,,,,PAPER
PLAYER|2026-08-16|Iván Romero|sot,2026-08-13T15:40:27.912353+00:00,sot,Iván Romero,Espanyol vs Levante,over,2.0,,1.53,,,,0.3072,,,,PAPER
PLAYER|2026-08-15|Jon Guridi|sot,2026-08-13T15:40:27.914011+00:00,sot,Jon Guridi,Alaves vs Getafe,over,1.83,,2.05,,,,-0.1073,,,,AVOID
PLAYER|2026-08-16|Jon Ander Olasagasti|sot,2026-08-13T15:40:27.914403+00:00,sot,Jon Ander Olasagasti,Espanyol vs Levante,over,4.0,,2.75,,,,0.4545,,,,VALUABLE
PLAYER|2026-08-15|Lucas Boyé|sot,2026-08-13T15:40:27.915035+00:00,sot,Lucas Boyé,Alaves vs Getafe,over,1.4,,1.52,,,,-0.0789,,,,AVOID
PLAYER|2026-08-15|Sergio Camello|sot,2026-08-13T15:40:27.915510+00:00,sot,Sergio Camello,Sevilla vs Rayo Vallecano,over,1.53,,1.53,,,,0.0,,,,AVOID
PLAYER|2026-08-16|Tyrhys Dolan|sot,2026-08-13T15:40:27.916765+00:00,sot,Tyrhys Dolan,Espanyol vs Levante,over,1.71,,1.91,,,,-0.1047,,,,AVOID
PLAYER|2026-08-15|Jorge de Frutos|sot,2026-08-13T15:40:27.917064+00:00,sot,Jorge de Frutos,Sevilla vs Rayo Vallecano,over,1.44,,1.8,,,,-0.2,,,,AVOID
PLAYER|2026-08-15|Isi Palazón|goals,2026-08-13T15:40:27.918496+00:00,goals,Isi Palazón,Sevilla vs Rayo Vallecano,over,6.0,,5.8,,,,0.0345,,,,VALUABLE
PLAYER|2026-08-14|Tyrhys Dolan|sot,2026-08-13T15:40:27.919316+00:00,sot,Tyrhys Dolan,Wolves vs Blackburn,over,1.71,,,,,,,,,,AVOID
PLAYER|2026-08-16|Iván Romero|goals,2026-08-13T15:40:27.921427+00:00,goals,Iván Romero,Espanyol vs Levante,over,3.8,,4.5,,,,-0.1556,,,,AVOID
PLAYER|2026-08-15|Florian Lejeune|sot,2026-08-13T15:40:27.923214+00:00,sot,Florian Lejeune,Sevilla vs Rayo Vallecano,over,2.3,,2.7,,,,-0.1481,,,,AVOID
PLAYER|2026-08-15|Álvaro García|goals,2026-08-13T15:40:27.923962+00:00,goals,Álvaro García,Sevilla vs Rayo Vallecano,over,4.75,,4.6,,,,0.0326,,,,PAPER
PLAYER|2026-08-15|Zaid Romero|sot,2026-08-13T15:40:27.924403+00:00,sot,Zaid Romero,Alaves vs Getafe,over,7.0,,6.5,,,,0.0769,,,,VALUABLE
PLAYER|2026-08-15|Antonio Blanco|sot,2026-08-13T15:40:27.926399+00:00,sot,Antonio Blanco,Alaves vs Getafe,over,2.25,,3.15,,,,-0.2857,,,,AVOID
PLAYER|2026-08-15|Martín Satriano|goals,2026-08-13T15:40:27.927571+00:00,goals,Martín Satriano,Alaves vs Getafe,over,2.9,,6.0,,,,-0.5167,,,,AVOID
PLAYER|2026-08-16|Jon Ander Olasagasti|goals,2026-08-13T15:40:27.927948+00:00,goals,Jon Ander Olasagasti,Espanyol vs Levante,over,8.5,,11.0,,,,-0.2273,,,,VALUABLE
