date,match,market,opening_odds,current_odds,drift_pct,signal,snapshots,n_books,updated_at
2026-07-03,Switzerland vs Algeria,O/U 2.5 OVER,1.97,2.17,10.2,FADING,16,13,2026-06-30 17:17
2026-07-01,England vs DR Congo,1X2 AWAY (DR Congo),12.0,13.75,14.6,FADING,16,23,2026-06-30 17:17
2026-07-04,Colombia vs Ghana,1X2 AWAY (Ghana),6.4,7.5,17.2,FADING,16,25,2026-06-30 17:17
2026-07-01,Mexico vs Ecuador,O/U 2.5 OVER,2.475,2.92,18.0,FADING,17,6,2026-06-30 17:17
2026-06-30,France vs Sweden,O/U 2.5 UNDER,2.3,2.95,28.3,FADING,24,8,2026-06-30 17:17
2026-07-03,Switzerland vs Algeria,1X2 DRAW (Draw),3.58,3.25,-9.2,SHARP,16,25,2026-06-30 17:17
2026-07-01,Mexico vs Ecuador,1X2 DRAW (Draw),3.175,2.9,-8.7,SHARP,17,25,2026-06-30 17:17
2026-07-01,Belgium vs Senegal,O/U 2.5 OVER,2.315,2.12,-8.4,SHARP,16,13,2026-06-30 17:17
2026-07-01,Mexico vs Ecuador,O/U 2.5 UNDER,1.53,1.41,-7.8,SHARP,17,6,2026-06-30 17:17
2026-07-01,England vs DR Congo,O/U 2.5 UNDER,1.97,1.835,-6.9,SHARP,16,12,2026-06-30 17:17
2026-07-03,Switzerland vs Algeria,O/U 2.5 UNDER,1.82,1.7,-6.6,SHARP,16,13,2026-06-30 17:17
2026-07-03,Switzerland vs Algeria,1X2 AWAY (Algeria),4.2,3.94,-6.2,SHARP,16,25,2026-06-30 17:17
2026-07-01,Belgium vs Senegal,1X2 AWAY (Senegal),3.74,3.54,-5.3,SHARP,16,25,2026-06-30 17:17
2026-07-02,Spain vs Austria,1X2 AWAY (Austria),13.5,10.0,-25.9,STRONG,16,25,2026-06-30 17:17
2026-06-30,France vs Sweden,O/U 2.5 OVER,1.62,1.41,-13.0,STRONG,24,8,2026-06-30 17:17
