date,league,season,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_corners,away_corners,home_fouls,away_fouls,home_shots,away_shots,home_sot,away_sot,ftr,referee,odds_over25,odds_under25,total_goals,over25,btts,ht_total_goals,ht_over05,ht_over15,home_sot_ratio,away_sot_ratio,home_xg,away_xg,home_insidebox,away_insidebox,home_scored_last5,home_conceded_last5,home_over25_last5,home_shots_last5,home_sot_last5,home_corners_pg_roll,home_fouls_pg_roll,home_xg_last5,home_insidebox_last5,home_ht_scored_last5,home_ht_conceded_last5,home_ht_over05_rate,home_ht_over15_rate,away_scored_last5,away_conceded_last5,away_over25_last5,away_shots_last5,away_sot_last5,away_corners_pg_roll,away_fouls_pg_roll,away_xg_last5,away_insidebox_last5,away_ht_scored_last5,away_ht_conceded_last5,away_ht_over05_rate,away_ht_over15_rate,combined_ht_goals_avg,home_ht_attack_str,away_ht_attack_str,home_ht_defense_str,away_ht_defense_str,league_avg_goals,home_attack_str,away_attack_str,home_defense_str,away_defense_str,home_rest_days,away_rest_days,home_advantage,away_home_adv_factor,home_season_goals_h,away_season_goals_a,home_season_conceded_h,away_season_conceded_a,home_cs_rate_h,away_cs_rate_a,home_sot_ratio_last5,away_sot_ratio_last5,combined_sot_ratio,home_sp_goals_pg,away_sp_goals_pg,home_pen_goals_pg,away_pen_goals_pg,home_fk_goals_pg,away_fk_goals_pg,referee_foul_avg,implied_prob_over,implied_prob_under,bookmaker_overround,p_over25_poisson_dc,p_over25,impl_prob_over,impl_prob_under,edge_over,edge_under,kelly_over,kelly_under,ev_over,ev_under,both_losing,stake_over,stake_under,tier_over,tier_under,min_odds_blocked,bet,bet_stake,best_edge,best_side,signal_tier,pnl,cumulative_pnl,drawdown
2021-02-21,Norway Eliteserien,2020/21,PSV Eindhoven,Vitesse,3.0,1.0,0.0,1.0,1.0,1.0,19.0,8.0,22.0,10.0,15.0,3.0,H,,1.8,2.01,4.0,1.0,1.0,1.0,1.0,0.0,0.6818181818181818,0.3,,,,,2.2,1.4,1.0,27.4,10.4,12.2,8.8,,,0.8,1.0,1.0,0.6,0.2,1.4,0.0,10.6,2.8,5.4,9.4,,,0.0,0.4,0.4,0.0,0.8,1.2307692307692308,0.0,1.5384615384615383,0.6153846153846154,3.0997506234413965,1.4194690265486727,0.12904263877715205,0.9032984714400643,0.9032984714400643,0.0,0.0,0.6,0.6,2.4,1.5454545454545454,0.6,1.3636363636363635,0.6,0.2727272727272727,0.3795620437956205,0.2641509433962264,0.32185649359592344,0.3,0.3,0.07,0.07,0.03,0.03,18.69653707454429,0.5555555555555556,0.49751243781094534,0.05306799336650103,0.4561868841166705,0.515800997606382,0.5555555555555556,0.49751243781094534,-0.0397545579491736,-0.013313435417327324,0.0,0.0,-0.07155820430851248,-0.02676000518882792,True,0.0,0.0,AVOID,AVOID,False,AVOID,0.0,-0.013313435417327324,UNDER,AVOID,0.0,0.0,0.0
2021-02-21,Norway Eliteserien,2020/21,Ajax,Sparta Rotterdam,4.0,2.0,3.0,0.0,3.0,3.0,4.0,9.0,16.0,12.0,7.0,4.0,H,,1.34,3.16,6.0,1.0,1.0,3.0,1.0,1.0,0.4375,0.3333333333333333,,,,,2.6,0.2,0.6,13.4,5.8,3.4,13.2,,,0.8,0.0,0.8,0.0,0.8,1.2,0.4,13.6,5.0,2.6,11.2,,,0.4,0.8,0.8,0.4,1.2000000000000002,1.2307692307692308,0.6153846153846154,0.0,1.2307692307692308,3.090909090909091,1.6823529411764706,0.5176470588235295,0.12941176470588237,0.7764705882352941,0.0,0.0,0.2,0.0,3.1,1.0,0.9,1.1,0.4,0.3,0.43283582089552236,0.36764705882352944,0.40024143985952587,0.3,0.3,0.07,0.07,0.03,0.03,18.69653707454429,0.7462686567164178,0.3164556962025316,0.0627243529189494,0.6602601118038806,0.5126613243539687,0.7462686567164178,0.3164556962025316,-0.23360733236244913,0.17088297944349967,0.0,0.24999546992660135,-0.31303382536568186,0.5399902150414589,True,0.0,1.0,AVOID,SNIPER,False,AVOID,0.0,0.17088297944349967,UNDER,AVOID,0.0,0.0,0.0
2021-02-21,Norway Eliteserien,2020/21,Twente,Feyenoord,2.0,2.0,2.0,1.0,4.0,3.0,9.0,9.0,9.0,10.0,6.0,2.0,D,,1.6,2.32,4.0,1.0,1.0,3.0,1.0,1.0,0.6666666666666666,0.2,,,,,1.2,1.6,0.6,6.2,3.2,3.2,9.0,,,0.8,1.0,1.0,0.6,3.6,0.8,1.0,13.6,7.2,4.2,11.4,,,1.8,0.4,1.0,0.6,2.6,1.2307692307692308,2.769230769230769,1.5384615384615383,0.6153846153846154,3.100250626566416,0.7741309620048504,2.3223928860145513,1.0321746160064673,0.5160873080032337,0.0,0.0,1.0,1.0,1.2727272727272727,1.9,1.3636363636363635,1.1,0.18181818181818182,0.3,0.5161290322580645,0.5294117647058824,0.5227703984819734,0.3,0.3,0.07,0.07,0.03,0.03,18.69653707454429,0.625,0.4310344827586207,0.056034482758620774,0.8574607811109731,0.47251708270155623,0.625,0.4310344827586207,-0.15248291729844377,0.09644843453982305,0.0,0.16951543040332534,-0.24397266767751002,0.22376036813238945,True,0.0,1.0,AVOID,MARKSMAN,False,AVOID,0.0,0.09644843453982305,UNDER,AVOID,0.0,0.0,0.0
2021-02-21,Norway Eliteserien,2019/20,Twente,Feyenoord,2.0,2.0,2.0,1.0,4.0,3.0,9.0,9.0,9.0,10.0,6.0,2.0,D,,1.6,2.32,4.0,1.0,1.0,3.0,1.0,1.0,0.6666666666666666,0.2,,,,,0.8,1.2,0.4,8.2,2.8,4.0,9.2,,,0.4,0.8,0.8,0.4,3.2,1.0,1.0,14.6,7.0,5.4,10.6,,,1.6,0.4,1.0,0.6,2.0,0.6153846153846154,2.4615384615384617,1.2307692307692308,0.6153846153846154,3.0979899497487438,0.5164639091646391,2.0658556366585565,0.7746958637469586,0.6455798864557989,0.0,0.0,0.8,0.4,1.2727272727272727,1.9,1.3636363636363635,1.1,0.18181818181818182,0.3,0.34146341463414637,0.4794520547945206,0.41045773471433344,0.3,0.3,0.07,0.07,0.03,0.03,18.69653707454429,0.625,0.4310344827586207,0.056034482758620774,0.7618966944464556,0.4709904464993543,0.625,0.4310344827586207,-0.1540095535006457,0.097975070742025,0.0,0.17219860918295302,-0.24641528560103315,0.22730216412149798,True,0.0,1.0,AVOID,MARKSMAN,False,AVOID,0.0,0.097975070742025,UNDER,AVOID,0.0,0.0,0.0
2021-02-21,Norway Eliteserien,2020/21,Waalwijk,Heracles,3.0,0.0,2.0,0.0,5.0,3.0,7.0,8.0,8.0,7.0,5.0,0.0,H,,1.87,1.92,3.0,1.0,0.0,2.0,1.0,1.0,0.625,0.0,,,,,1.0,0.6,0.0,12.6,4.6,4.6,10.2,,,0.4,0.0,0.4,0.0,0.6,0.8,0.0,11.2,3.4,5.4,12.0,,,0.6,0.4,1.0,0.0,1.0,0.6153846153846154,0.923076923076923,0.0,0.6153846153846154,3.09823677581864,0.6455284552845528,0.38731707317073166,0.38731707317073166,0.5164227642276423,0.0,0.0,0.0,0.0,1.0,0.8181818181818182,1.5454545454545454,1.9090909090909092,0.09090909090909091,0.2727272727272727,0.36507936507936506,0.3035714285714286,0.33432539682539686,0.3,0.3,0.07,0.07,0.03,0.03,18.69653707454429,0.53475935828877,0.5208333333333334,0.05559269162210345,0.21664151018073685,0.4662539912655599,0.53475935828877,0.5208333333333334,-0.06850536702321008,0.012912675401106744,0.0,0.02694819214144021,-0.12810503633340287,0.024792336770124948,True,0.0,0.0,AVOID,AVOID,False,AVOID,0.0,0.012912675401106744,UNDER,AVOID,0.0,0.0,0.0
2021-02-21,Norway Eliteserien,2020/21,Heerenveen,Groningen,1.0,1.0,1.0,0.0,6.0,4.0,12.0,7.0,8.0,16.0,2.0,2.0,D,,1.92,1.87,2.0,0.0,1.0,1.0,1.0,0.0,0.25,0.125,,,,,0.8,1.2,0.4,7.2,3.0,3.0,8.2,,,0.0,0.4,0.4,0.0,1.0,0.4,0.2,13.6,5.2,4.8,13.0,,,0.8,0.4,1.0,0.2,0.8,0.0,1.2307692307692308,0.6153846153846154,0.6153846153846154,3.1025,0.5157131345688961,0.6446414182111201,0.7735697018533441,0.25785656728444806,0.0,0.0,0.4,0.0,1.6,1.5,1.1,1.5,0.5,0.1,0.41666666666666663,0.3823529411764706,0.39950980392156865,0.3,0.3,0.07,0.07,0.03,0.03,18.69653707454429,0.5208333333333334,0.53475935828877,0.05559269162210345,0.26937891406058756,0.46648764184315034,0.5208333333333334,0.53475935828877,-0.054345691490183035,-0.0012470001319202506,0.0,0.0,-0.10434372766115142,-0.0023318902466908688,True,0.0,0.0,AVOID,AVOID,False,AVOID,0.0,-0.0012470001319202506,UNDER,AVOID,0.0,0.0,0.0
2021-02-24,Norway Eliteserien,2019/20,Willem II,Den Haag,1.0,1.0,0.0,0.0,9.0,1.0,14.0,7.0,13.0,8.0,3.0,3.0,D,,1.68,2.17,2.0,0.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.375,,,,,0.4,4.4,0.8,7.6,2.4,3.0,8.4,,,0.2,1.6,1.0,0.4,1.0,1.8,0.4,5.2,2.2,2.4,6.6,,,0.6,0.4,1.0,0.0,0.8,0.3076923076923077,0.923076923076923,2.4615384615384617,0.6153846153846154,3.1083743842364533,0.2573692551505547,0.6434231378763867,2.8310618066561015,1.1581616481774961,0.0,0.0,0.4,0.8,1.3636363636363635,0.7272727272727273,2.4545454545454546,2.3636363636363638,0.18181818181818182,0.09090909090909091,0.3157894736842105,0.4230769230769231,0.36943319838056676,0.3,0.3,0.07,0.07,0.03,0.03,18.69653707454429,0.5952380952380952,0.4608294930875576,0.05606758832565273,0.16650226187737005,0.47257867046632024,0.5952380952380952,0.4608294930875576,-0.122659424771775,0.06659183644612221,0.0,0.12350793597272242,-0.20606783361658199,0.1445042850880852,True,0.0,1.0,AVOID,VALUABLE,False,AVOID,0.0,0.06659183644612221,UNDER,AVOID,0.0,0.0,0.0
2021-02-24,Norway Eliteserien,2019/20,Groningen,Feyenoord,0.0,0.0,0.0,0.0,3.0,7.0,13.0,9.0,8.0,19.0,3.0,4.0,D,,1.72,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.21052631578947367,,,,,0.8,0.6,0.0,14.6,4.2,4.8,10.2,,,0.4,0.6,1.0,0.0,3.4,1.0,1.0,14.4,6.6,4.8,10.8,,,1.4,0.8,1.0,0.6,1.7999999999999998,0.6153846153846154,2.1538461538461537,0.923076923076923,1.2307692307692308,3.1056511056511056,0.5151898734177216,2.1895569620253164,0.38639240506329114,0.6439873417721519,0.0,0.0,0.4,0.8,1.2727272727272727,1.9090909090909092,0.7272727272727273,1.1818181818181819,0.5454545454545454,0.2727272727272727,0.28767123287671237,0.4583333333333333,0.3730022831050228,0.3,0.3,0.07,0.07,0.03,0.03,18.69653707454429,0.5813953488372093,0.47619047619047616,0.0575858250276855,0.7897620129769026,0.48295731976829537,0.5813953488372093,0.47619047619047616,-0.09843802906891397,0.04085220404122847,0.0,0.07799057135143617,-0.16931340999853203,0.08578962848657978,True,0.0,1.0,AVOID,VALUABLE,False,AVOID,0.0,0.04085220404122847,UNDER,AVOID,0.0,0.0,0.0
2021-02-24,Norway Eliteserien,2020/21,Groningen,Feyenoord,0.0,0.0,0.0,0.0,3.0,7.0,13.0,9.0,8.0,19.0,3.0,4.0,D,,1.72,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.21052631578947367,,,,,0.8,0.4,0.0,13.6,4.2,4.6,9.8,,,0.4,0.4,0.8,0.0,2.8,0.8,0.8,17.0,6.4,6.2,10.2,,,0.8,0.8,0.8,0.4,1.2000000000000002,0.6153846153846154,1.2307692307692308,0.6153846153846154,1.2307692307692308,3.0980392156862746,0.5164556962025316,1.8075949367088606,0.2582278481012658,0.5164556962025316,3.0,3.0,0.2,1.0,1.2727272727272727,1.9090909090909092,0.7272727272727273,1.1818181818181819,0.5454545454545454,0.2727272727272727,0.3088235294117647,0.3764705882352941,0.3426470588235294,0.3,0.3,0.07,0.07,0.03,0.03,18.69653707454429,0.5813953488372093,0.47619047619047616,0.0575858250276855,0.6972531552839984,0.49186972980827687,0.5813953488372093,0.47619047619047616,-0.08952561902893247,0.031939794001247024,0.0,0.06097597036601701,-0.15398406472976384,0.06707356740261876,True,0.0,0.0,AVOID,AVOID,False,AVOID,0.0,0.031939794001247024,UNDER,AVOID,0.0,0.0,0.0
2021-02-24,Norway Eliteserien,2020/21,Willem II,Den Haag,1.0,1.0,0.0,0.0,9.0,1.0,14.0,7.0,13.0,8.0,3.0,3.0,D,,1.68,2.17,2.0,0.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.375,,,,,0.2,4.6,0.8,7.8,2.2,4.6,8.4,,,0.0,1.6,0.8,0.4,1.0,1.8,0.4,5.2,1.8,1.8,5.8,,,0.4,0.4,0.8,0.0,0.4,0.0,0.6153846153846154,2.4615384615384617,0.6153846153846154,3.0904645476772616,0.12943037974683544,0.6471518987341772,2.976898734177215,1.164873417721519,5.0,4.0,0.0,0.6,1.3636363636363635,0.7272727272727273,2.4545454545454546,2.3636363636363638,0.18181818181818182,0.09090909090909091,0.2820512820512821,0.34615384615384615,0.3141025641025641,0.3,0.3,0.07,0.07,0.03,0.03,18.69653707454429,0.5952380952380952,0.4608294930875576,0.05606758832565273,0.1428875109080303,0.47136411733925665,0.5952380952380952,0.4608294930875576,-0.12387397789883858,0.06780638957318574,0.0,0.12576056869556673,-0.20810828287004882,0.14713986537381307,True,0.0,1.0,AVOID,VALUABLE,False,AVOID,0.0,0.06780638957318574,UNDER,AVOID,0.0,0.0,0.0
